Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,16180.0,16000.0,16060.0,16180.0,11950800.0,13134.0107421875
2010-01-05,16580.0,16300.0,16520.0,16440.0,27925850.0,13345.0654296875
2010-01-06,16820.0,16520.0,16580.0,16820.0,22948850.0,13653.5302734375
2010-01-07,16820.0,16260.0,16820.0,16260.0,22107950.0,13198.9521484375
2010-01-08,16420.0,16120.0,16400.0,16420.0,14777550.0,13328.830078125
2010-01-11,16460.0,15940.0,16420.0,15940.0,19896100.0,12939.193359375
2010-01-12,16180.0,15900.0,15940.0,16180.0,19218050.0,13134.0107421875
2010-01-13,16120.0,15940.0,16100.0,15940.0,13375300.0,12939.193359375
2010-01-14,16620.0,16000.0,16120.0,16540.0,26551550.0,13426.240234375
2010-01-15,16860.0,16580.0,16640.0,16840.0,19905600.0,13669.7626953125
2010-01-18,16920.0,16560.0,16800.0,16860.0,13060400.0,13685.9970703125
2010-01-19,17000.0,16440.0,17000.0,16460.0,12041250.0,13361.2998046875
2010-01-20,16740.0,16460.0,16460.0,16680.0,19200850.0,13539.8828125
2010-01-21,17000.0,16400.0,16400.0,17000.0,16990100.0,13799.6416015625
2010-01-22,16900.0,16360.0,16800.0,16500.0,23460500.0,13393.76953125
2010-01-25,16960.0,16300.0,16320.0,16840.0,20578400.0,13669.7626953125
2010-01-26,16920.0,16240.0,16920.0,16300.0,18722300.0,13231.4208984375
2010-01-27,16340.0,16000.0,16300.0,16000.0,18516150.0,12987.8994140625
2010-01-28,16300.0,16060.0,16160.0,16160.0,13795800.0,13117.7763671875
2010-01-29,16020.0,15600.0,16000.0,15680.0,22854100.0,12728.1416015625
2010-02-01,15700.0,15300.0,15680.0,15540.0,25037200.0,12614.498046875
2010-02-02,15800.0,15400.0,15800.0,15440.0,19677150.0,12533.32421875
2010-02-03,15700.0,15360.0,15640.0,15540.0,16467700.0,12614.498046875
2010-02-04,15660.0,15440.0,15500.0,15520.0,11971700.0,12598.263671875
2010-02-05,15220.0,14940.0,15160.0,15000.0,25705750.0,12176.15625
2010-02-08,15080.0,14820.0,14940.0,14960.0,21891500.0,12143.6865234375
2010-02-09,15220.0,14840.0,14960.0,15220.0,16834200.0,12354.7392578125
2010-02-10,15280.0,15040.0,15260.0,15100.0,13174200.0,12257.3291015625
2010-02-11,15300.0,15120.0,15140.0,15260.0,13208300.0,12387.208984375
2010-02-12,15340.0,14900.0,15340.0,15000.0,22879300.0,12176.15625
2010-02-16,15180.0,14960.0,15000.0,15120.0,7723550.0,12273.5634765625
2010-02-17,15580.0,15280.0,15440.0,15580.0,13997150.0,12646.96484375
2010-02-18,15620.0,15440.0,15580.0,15500.0,7251900.0,12582.025390625
2010-02-19,15540.0,15180.0,15380.0,15200.0,11094000.0,12338.5009765625
2010-02-22,15560.0,15400.0,15440.0,15460.0,11580550.0,12549.556640625
2010-02-23,15480.0,15120.0,15480.0,15340.0,12568850.0,12452.1455078125
2010-02-24,15220.0,15000.0,15180.0,15040.0,15052500.0,12208.623046875
2010-02-25,15160.0,14680.0,15080.0,14720.0,19273900.0,11948.8671875
2010-02-26,14960.0,14660.0,14800.0,14880.0,15576350.0,12078.7470703125
2010-03-02,15480.0,15120.0,15220.0,15400.0,23494700.0,12500.8544921875
2010-03-03,15460.0,15260.0,15420.0,15420.0,9713550.0,12517.0869140625
2010-03-04,15440.0,15120.0,15420.0,15220.0,10205050.0,12354.7392578125
2010-03-05,15500.0,15260.0,15260.0,15500.0,11754700.0,12582.025390625
2010-03-08,15840.0,15700.0,15800.0,15720.0,19563300.0,12760.6142578125
2010-03-09,15740.0,15540.0,15740.0,15720.0,12211750.0,12760.6142578125
2010-03-10,15740.0,15560.0,15720.0,15680.0,11367600.0,12728.1416015625
2010-03-11,15880.0,15560.0,15800.0,15560.0,19631000.0,12630.7314453125
2010-03-12,15680.0,15420.0,15560.0,15560.0,9997950.0,12630.7314453125
2010-03-15,15660.0,15280.0,15640.0,15360.0,11156550.0,12468.3798828125
2010-03-16,15400.0,15160.0,15360.0,15300.0,16548150.0,12419.6796875
2010-03-17,15960.0,15420.0,15440.0,15960.0,21840650.0,12955.4287109375
2010-03-18,16140.0,15900.0,15900.0,15940.0,15393500.0,12939.193359375
2010-03-19,16140.0,15960.0,16020.0,16080.0,10711200.0,13052.8369140625
2010-03-22,16080.0,15840.0,16060.0,16020.0,9191800.0,13004.1318359375
2010-03-23,16300.0,16100.0,16140.0,16180.0,9923300.0,13134.0107421875
2010-03-24,16500.0,16260.0,16300.0,16380.0,15926950.0,13296.3603515625
2010-03-25,16440.0,16180.0,16300.0,16380.0,9481650.0,13296.3603515625
2010-03-26,16500.0,16240.0,16460.0,16400.0,10481650.0,13312.5927734375
2010-03-29,16500.0,16200.0,16200.0,16360.0,7756350.0,13280.126953125
2010-03-30,16580.0,16240.0,16540.0,16280.0,12042400.0,13215.1865234375
2010-03-31,16680.0,16260.0,16280.0,16360.0,21699800.0,13280.126953125
2010-04-01,16900.0,16480.0,16520.0,16900.0,28068050.0,13718.46875
2010-04-02,17200.0,16820.0,16920.0,17140.0,20907050.0,13913.28515625
2010-04-05,17400.0,17140.0,17220.0,17400.0,15201700.0,14124.3408203125
2010-04-06,17500.0,17220.0,17480.0,17380.0,16494250.0,14108.10546875
2010-04-07,17380.0,17040.0,17300.0,17180.0,19418550.0,13945.7568359375
2010-04-08,17260.0,17060.0,17140.0,17260.0,13447700.0,14010.697265625
2010-04-09,17320.0,16960.0,17280.0,17120.0,13757650.0,13897.0517578125
2010-04-12,17200.0,16540.0,17180.0,16600.0,24897000.0,13474.943359375
2010-04-13,16680.0,16300.0,16680.0,16560.0,20446350.0,13442.47265625
2010-04-14,16940.0,16660.0,16700.0,16900.0,15369350.0,13718.46875
2010-04-15,17240.0,16880.0,17240.0,17100.0,18248400.0,13880.8203125
2010-04-16,17160.0,16820.0,17100.0,16960.0,11003100.0,13767.1728515625
2010-04-19,16800.0,16520.0,16740.0,16540.0,12357100.0,13426.240234375
2010-04-20,16640.0,16420.0,16540.0,16560.0,13571500.0,13442.47265625
2010-04-21,17060.0,16700.0,16760.0,17040.0,13200200.0,13832.11328125
2010-04-22,16980.0,16660.0,16980.0,16820.0,17161750.0,13653.5302734375
2010-04-23,16960.0,16560.0,16960.0,16600.0,15442000.0,13474.943359375
2010-04-26,16840.0,16600.0,16700.0,16680.0,13009350.0,13539.8828125
2010-04-27,16760.0,16540.0,16620.0,16700.0,13040500.0,13556.1201171875
2010-04-28,16500.0,16360.0,16400.0,16500.0,16007500.0,13393.76953125
2010-04-29,16620.0,16320.0,16600.0,16500.0,11337150.0,13393.76953125
2010-04-30,17040.0,16540.0,16560.0,16980.0,22710850.0,13783.4072265625
2010-05-03,16900.0,16540.0,16900.0,16580.0,14553900.0,13458.708984375
2010-05-04,16860.0,16600.0,16800.0,16680.0,9138450.0,13539.8828125
2010-05-06,16380.0,16200.0,16340.0,16280.0,22570150.0,13215.1865234375
2010-05-07,15980.0,15760.0,15960.0,15880.0,37887000.0,12890.4892578125
2010-05-10,16100.0,15940.0,16000.0,16060.0,16435550.0,13036.603515625
2010-05-11,16240.0,15820.0,16240.0,15820.0,22498000.0,12841.7841796875
2010-05-12,15960.0,15640.0,15940.0,15780.0,15759500.0,12809.31640625
2010-05-13,16400.0,15940.0,15960.0,16260.0,15900650.0,13198.9521484375
2010-05-14,16240.0,15980.0,16120.0,16200.0,14674300.0,13150.2490234375
2010-05-17,15980.0,15560.0,15960.0,15680.0,26460950.0,12728.1416015625
2010-05-18,15900.0,15680.0,15800.0,15840.0,18143800.0,12858.01953125
2010-05-19,15700.0,15380.0,15700.0,15460.0,17987050.0,12549.556640625
2010-05-20,15440.0,15100.0,15300.0,15120.0,19772500.0,12273.5634765625
2010-05-24,15280.0,14880.0,14940.0,15160.0,17704300.0,12306.033203125
2010-05-25,15120.0,14720.0,15000.0,14820.0,25489550.0,12030.04296875
2010-05-26,15380.0,14900.0,15200.0,15000.0,22943950.0,12176.15625
2010-05-27,15500.0,14820.0,14880.0,15440.0,22173500.0,12533.32421875
2010-05-28,15740.0,15340.0,15740.0,15560.0,22448950.0,12630.7314453125
2010-05-31,15620.0,15360.0,15440.0,15520.0,12774650.0,12598.263671875
2010-06-01,15580.0,15300.0,15520.0,15360.0,11382350.0,12468.3798828125
2010-06-03,15680.0,15480.0,15600.0,15540.0,14649400.0,12614.498046875
2010-06-04,15940.0,15480.0,15500.0,15860.0,12598850.0,12874.2529296875
2010-06-07,15740.0,15540.0,15580.0,15740.0,15161550.0,12776.8427734375
2010-06-08,15960.0,15520.0,15700.0,15700.0,14499800.0,12744.3740234375
2010-06-09,15840.0,15320.0,15840.0,15400.0,17914950.0,12500.8544921875
2010-06-10,15600.0,15420.0,15540.0,15460.0,17769350.0,12549.556640625
2010-06-11,15940.0,15660.0,15700.0,15940.0,18283050.0,12939.193359375
2010-06-14,16180.0,15820.0,15820.0,16140.0,12094650.0,13101.541015625
2010-06-15,16200.0,15960.0,16200.0,15960.0,9528550.0,12955.4287109375
2010-06-16,16440.0,16180.0,16300.0,16380.0,18823500.0,13296.3603515625
2010-06-17,16340.0,16200.0,16240.0,16340.0,11648800.0,13263.892578125
2010-06-18,16500.0,16240.0,16500.0,16440.0,9579500.0,13345.0654296875
2010-06-21,16780.0,16500.0,16600.0,16600.0,14230700.0,13474.943359375
2010-06-22,16540.0,16260.0,16540.0,16320.0,14794100.0,13247.6552734375
2010-06-23,16220.0,16000.0,16220.0,16100.0,17489950.0,13069.0712890625
2010-06-24,16460.0,16100.0,16160.0,16400.0,14152200.0,13312.5927734375
2010-06-25,16200.0,16040.0,16180.0,16100.0,16982600.0,13069.0712890625
2010-06-28,16160.0,15920.0,16100.0,15920.0,13026700.0,12922.9580078125
2010-06-29,16080.0,15740.0,16020.0,15840.0,12560000.0,12939.296875
2010-06-30,15600.0,15400.0,15400.0,15480.0,26708450.0,12645.22265625
2010-07-01,15600.0,15200.0,15580.0,15320.0,22206400.0,12514.5205078125
2010-07-02,15480.0,15260.0,15400.0,15340.0,11641100.0,12530.8583984375
2010-07-05,15400.0,15220.0,15260.0,15340.0,9995600.0,12530.8583984375
2010-07-06,15500.0,15100.0,15240.0,15500.0,17879550.0,12661.5576171875
2010-07-07,15620.0,15300.0,15600.0,15380.0,16180150.0,12563.53515625
2010-07-08,15680.0,15400.0,15660.0,15500.0,14752850.0,12661.5576171875
2010-07-09,15920.0,15460.0,15580.0,15920.0,18605950.0,13004.6474609375
2010-07-12,16040.0,15840.0,15980.0,16040.0,12597450.0,13102.669921875
2010-07-13,16160.0,15880.0,15960.0,15920.0,15339650.0,13004.6474609375
2010-07-14,16560.0,16260.0,16260.0,16480.0,33184600.0,13462.0986328125
2010-07-15,16500.0,16360.0,16500.0,16400.0,16063950.0,13396.7451171875
2010-07-16,16400.0,16040.0,16320.0,16040.0,16933400.0,13102.669921875
2010-07-19,15980.0,15720.0,15720.0,15900.0,14586800.0,12988.3115234375
2010-07-20,16040.0,15720.0,15900.0,15960.0,11578400.0,13037.3212890625
2010-07-21,16360.0,16120.0,16340.0,16340.0,16558800.0,13347.734375
2010-07-22,16340.0,16020.0,16240.0,16160.0,15439550.0,13200.697265625
2010-07-23,16340.0,16140.0,16300.0,16220.0,14112800.0,13249.70703125
2010-07-26,16400.0,16180.0,16260.0,16360.0,10617450.0,13364.0732421875
2010-07-27,16600.0,16420.0,16480.0,16580.0,19088350.0,13543.78515625
2010-07-28,16800.0,16620.0,16640.0,16740.0,23248200.0,13674.4814453125
2010-07-29,16800.0,16480.0,16780.0,16540.0,14865300.0,13511.107421875
2010-07-30,16540.0,16200.0,16440.0,16200.0,16399000.0,13233.37109375
2010-08-02,16360.0,16200.0,16340.0,16200.0,12455050.0,13233.37109375
2010-08-03,16440.0,16300.0,16400.0,16300.0,13105950.0,13315.0615234375
