기준연월	지역명	지역코드	법정동	아파트	거래금액	년	월	일	건축년도	전용면적	층
202006	서울특별시종로구	11110	 신교동	신현(102동)	   100,000	2020	6	30	2002	134.66	5
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   121,500	2020	6	4	2008	126.34	7
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   115,000	2020	6	9	2008	94.28	5
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   113,000	2020	6	13	2008	97.61	1
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   124,000	2020	6	16	2008	94.51	5
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   120,000	2020	6	20	2008	91.35	14
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(106동)	   146,000	2020	6	22	2008	150.4	7
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   112,000	2020	6	24	2008	94.28	1
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   130,000	2020	6	24	2008	94.51	14
202006	서울특별시종로구	11110	 사직동	광화문풍림스페이스본(101동~105동)	   145,000	2020	6	26	2008	126.34	6
202006	서울특별시종로구	11110	 당주동	세종	    79,000	2020	6	15	1983	102.89	5
202006	서울특별시종로구	11110	 내수동	경희궁의아침2단지	   140,000	2020	6	1	2004	124.17	4
202006	서울특별시종로구	11110	 내수동	경희궁의아침3단지	   172,000	2020	6	5	2004	174.55	11
202006	서울특별시종로구	11110	 내수동	세종로대우	    95,000	2020	6	5	1994	109.91	11
202006	서울특별시종로구	11110	 내수동	경희궁의아침3단지	   155,000	2020	6	9	2004	149	14
202006	서울특별시종로구	11110	 내수동	경희궁의아침3단지	   178,500	2020	6	16	2004	174.55	7
202006	서울특별시종로구	11110	 내수동	킹스매너	   158,000	2020	6	16	2004	218.86	2
